#separator:tab
#html:true
#notetype:Basic
#deck:Algebra::Lang::I §1
#tags column:3
What is a <i>law of composition</i> on a set S?	A map S &times; S &rarr; S.<br>The image of (x, y) is written xy and called their <i>product</i>.<br><br><i>Lang, Algebra, I &sect;1, p. 3</i>	lang::ch1::s1 type::definition level::foundation
Give Lang's definition of a <i>monoid</i>.	A set with a law of composition that is <b>associative</b> and has a <b>unit element</b>.<br>It is never empty, since it contains e.<br><br><i>Lang, Algebra, I &sect;1, p. 3</i>	lang::ch1::s1 type::definition level::foundation
Prove in one line that a unit element is unique.	If e and e&prime; are both units, then e = ee&prime; = e&prime;.<br>The first equality uses e&prime; as a unit, the second uses e.<br><br><i>Lang, Algebra, I &sect;1, p. 3</i>	lang::ch1::s1 type::proof level::foundation
Give Lang's definition of a <i>submonoid</i>.	A subset that contains e and is closed under the law of composition.<br>It is then a monoid under the induced law.<br><br><i>Lang, Algebra, I &sect;1, p. 6</i>	lang::ch1::s1 type::definition level::foundation
In Lang, <i>almost all</i> means what exactly?	All but a finite number.<br>He fixes the phrase here and relies on it for the rest of the book.<br><br><i>Lang, Algebra, I &sect;1, p. 5</i>	lang::ch1::s1 type::definition
How does Lang <i>define</i> the product x<sub>1</sub> &middot;&middot;&middot; x<sub>n</sub>?	By induction, attaching each new factor on the right:<br>&prod;<sub>&nu;=1</sub><sup>n</sup> x<sub>&nu;</sub> = (x<sub>1</sub> &middot;&middot;&middot; x<sub>n&minus;1</sub>)x<sub>n</sub><br><br><i>Lang, Algebra, I &sect;1, p. 4</i>	lang::ch1::s1 type::notation
The n-fold product is defined by one bracketing. Which statement lets you bracket any way you like?	&prod;<sub>&mu;=1</sub><sup>m</sup> x<sub>&mu;</sub> &middot; &prod;<sub>&nu;=1</sub><sup>n</sup> x<sub>m+&nu;</sub> = &prod;<sub>&nu;=1</sub><sup>m+n</sup> x<sub>&nu;</sub><br>Lang leaves the proof as an <b>exercise</b>.<br><br><i>Lang, Algebra, I &sect;1, p. 4</i>	lang::ch1::s1 type::theorem
What is the empty product in a monoid, and what does that convention buy?	e.<br>It makes x<sup>0</sup> = e fall out of the definition of powers, with no separate rule and no special case in x<sup>n+m</sup> = x<sup>n</sup>x<sup>m</sup>.<br><br><i>Lang, Algebra, I &sect;1, pp. 4, 6</i>	lang::ch1::s1 type::notation
Define &prod;<sub>i&isin;I</sub> f(i) for an arbitrary index set I.	Let I&#8320; = {i : f(i) &ne; e}, and require f(i) = e for almost all i, so I&#8320; is finite.<br>Then &prod;<sub>i&isin;I</sub> f(i) = &prod;<sub>i&isin;I&#8320;</sub> f(i).<br><br><i>Lang, Algebra, I &sect;1, p. 5</i>	lang::ch1::s1 type::notation
&prod;<sub>i&isin;I</sub> f(i) rests on two hypotheses. Name both, and say what each one buys.	<b>f(i) = e for almost all i</b>, which makes the product finite.<br><b>G commutative</b>, which makes the value independent of the order.<br>Drop either and the symbol stops meaning anything.<br><br><i>Lang, Algebra, I &sect;1, p. 5</i>	lang::ch1::s1 type::hypothesis
State Lang's reordering theorem for products.	If G is commutative and &psi; permutes (1, &hellip;, n), then<br>&prod;<sub>&nu;=1</sub><sup>n</sup> x<sub>&psi;(&nu;)</sub> = &prod;<sub>&nu;=1</sub><sup>n</sup> x<sub>&nu;</sub>.<br>This is the one result in &sect;1 that Lang proves in full.<br><br><i>Lang, Algebra, I &sect;1, p. 5</i>	lang::ch1::s1 type::theorem
Outline Lang's proof of the reordering theorem in four moves.	1. Check n = 1, then assume the case n&minus;1.<br>2. Pick k with &psi;(k) = n.<br>3. Commute that factor to the far right end.<br>4. Reindex the rest by &phi;, which skips k, and apply the induction hypothesis.<br><br><i>Lang, Algebra, I &sect;1, p. 5</i>	lang::ch1::s1 type::proof
How does Lang define x<sup>n</sup>, and what does it give at n = 0?	x<sup>n</sup> = &prod;<sub>1</sub><sup>n</sup> x, for every integer n &ge; 0.<br>At n = 0 the empty product gives x<sup>0</sup> = e.<br><br><i>Lang, Algebra, I &sect;1, p. 6</i>	lang::ch1::s1 type::notation
Which power law needs an extra hypothesis, and what is it?	(xy)<sup>n</sup> = x<sup>n</sup>y<sup>n</sup> needs xy = yx.<br>x<sup>n+m</sup> = x<sup>n</sup>x<sup>m</sup> and (x<sup>n</sup>)<sup>m</sup> = x<sup>nm</sup> hold in any monoid.<br><br><i>Lang, Algebra, I &sect;1, p. 6</i>	lang::ch1::s1 type::hypothesis
For subsets S, S&prime; of a monoid G, what is SS&prime;, and what is GG?	SS&prime; is the set of all products xy with x &isin; S and y &isin; S&prime;.<br>GG = G, because G has a unit element.<br><br><i>Lang, Algebra, I &sect;1, p. 6</i>	lang::ch1::s1 type::definition
In Lang I &sect;1, which results are proved and which are left as exercises?	<b>Proved:</b> reordering for commutative monoids (p. 5).<br><b>Exercises:</b> general associativity (p. 4), the double-product rule over I and J (p. 6), and the formal power laws (p. 6).<br><br><i>Lang, Algebra, I &sect;1</i>	lang::ch1::s1 type::meta
Lang gives a monoid from topology in &sect;1. What is it, and what is its unit element?	Homeomorphism classes of compact connected surfaces, added by connected sum.<br>The unit is the class of the ordinary 2-sphere.<br>Every class is uniquely n&tau; + m&pi; with n &ge; 0 and m = 0, 1, or 2.<br><br><i>Lang, Algebra, I &sect;1, pp. 6&ndash;7</i>	lang::ch1::s1 type::example
Which monoid from &sect;1 does Lang need later, and for what?	Multiplicative subsets of a commutative ring, meaning subsets that contain the unit element and are closed under multiplication.<br>Localization uses them in Chapter II, &sect;4.<br><br><i>Lang, Algebra, I &sect;1, p. 6</i>	lang::ch1::s1 type::example
